,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
BMD,DZDBMD,AOABMD,ARSBMD,AMDBMD,AUDBMD,EURBMD,AZNBMD,BHDBMD,BBDBMD,BYNBMD,EURBMD,1,BOBBMD,BAMBMD,BWPBMD,BRLBMD,BGNBMD,CVEBMD,KHRBMD,XAFBMD,CADBMD,KYDBMD,XAFBMD,CLPBMD,CNYBMD,COPBMD,CDFBMD,XAFBMD,CRCBMD,HRKBMD,EURBMD,CZKBMD,DKKBMD,DOPBMD,USDBMD,EGPBMD,USDBMD,XAFBMD,EURBMD,FJDBMD,EURBMD,EURBMD,XAFBMD,GELBMD,EURBMD,GHSBMD,GIPBMD,EURBMD,DKKBMD,GTQBMD,GBPBMD,GYDBMD,HNLBMD,HKDBMD,HUFBMD,ISKBMD,INRBMD,IDRBMD,IQDBMD,EURBMD,IMPBMD,ILSBMD,EURBMD,XOFBMD,JMDBMD,JPYBMD,GBPBMD,JODBMD,KZTBMD,KESBMD,KRWBMD,EURBMD,KWDBMD,KGSBMD,LAKBMD,EURBMD,LBPBMD,LYDBMD,CHFBMD,EURBMD,EURBMD,MOPBMD,MGABMD,MWKBMD,MYRBMD,MVRBMD,EURBMD,MRUBMD,MURBMD,MXNBMD,MDLBMD,MNTBMD,EURBMD,MADBMD,MZNBMD,MMKBMD,NADBMD,EURBMD,NZDBMD,NIOBMD,NGNBMD,MKDBMD,NOKBMD,OMRBMD,PKRBMD,"ILS, USD, and JODBMD",PAB  and USDBMD,PGKBMD,PYGBMD,PENBMD,PHPBMD,PLNBMD,EURBMD,USDBMD,QARBMD,RONBMD,RUBBMD,RWFBMD,XCDBMD,SARBMD,XOFBMD,RSDBMD,SGDBMD,EURBMD,EURBMD,ZARBMD,EURBMD,LKRBMD,SZLBMD,SEKBMD,CHFBMD,TWDBMD,TJSBMD,TZSBMD,THBBMD,USDBMD,TTDBMD,TNDBMD,TRYBMD,TMTBMD,UGXBMD,UAHBMD,AEDBMD,GBPBMD,USDBMD,UYUBMD,UZSBMD,VEFBMD,VNDBMD,ZMWBMD,ZWDBMD
BOB,DZDBOB,AOABOB,ARSBOB,AMDBOB,AUDBOB,EURBOB,AZNBOB,BHDBOB,BBDBOB,BYNBOB,EURBOB,BMDBOB,1,BAMBOB,BWPBOB,BRLBOB,BGNBOB,CVEBOB,KHRBOB,XAFBOB,CADBOB,KYDBOB,XAFBOB,CLPBOB,CNYBOB,COPBOB,CDFBOB,XAFBOB,CRCBOB,HRKBOB,EURBOB,CZKBOB,DKKBOB,DOPBOB,USDBOB,EGPBOB,USDBOB,XAFBOB,EURBOB,FJDBOB,EURBOB,EURBOB,XAFBOB,GELBOB,EURBOB,GHSBOB,GIPBOB,EURBOB,DKKBOB,GTQBOB,GBPBOB,GYDBOB,HNLBOB,HKDBOB,HUFBOB,ISKBOB,INRBOB,IDRBOB,IQDBOB,EURBOB,IMPBOB,ILSBOB,EURBOB,XOFBOB,JMDBOB,JPYBOB,GBPBOB,JODBOB,KZTBOB,KESBOB,KRWBOB,EURBOB,KWDBOB,KGSBOB,LAKBOB,EURBOB,LBPBOB,LYDBOB,CHFBOB,EURBOB,EURBOB,MOPBOB,MGABOB,MWKBOB,MYRBOB,MVRBOB,EURBOB,MRUBOB,MURBOB,MXNBOB,MDLBOB,MNTBOB,EURBOB,MADBOB,MZNBOB,MMKBOB,NADBOB,EURBOB,NZDBOB,NIOBOB,NGNBOB,MKDBOB,NOKBOB,OMRBOB,PKRBOB,"ILS, USD, and JODBOB",PAB  and USDBOB,PGKBOB,PYGBOB,PENBOB,PHPBOB,PLNBOB,EURBOB,USDBOB,QARBOB,RONBOB,RUBBOB,RWFBOB,XCDBOB,SARBOB,XOFBOB,RSDBOB,SGDBOB,EURBOB,EURBOB,ZARBOB,EURBOB,LKRBOB,SZLBOB,SEKBOB,CHFBOB,TWDBOB,TJSBOB,TZSBOB,THBBOB,USDBOB,TTDBOB,TNDBOB,TRYBOB,TMTBOB,UGXBOB,UAHBOB,AEDBOB,GBPBOB,USDBOB,UYUBOB,UZSBOB,VEFBOB,VNDBOB,ZMWBOB,ZWDBOB
BAM,DZDBAM,AOABAM,ARSBAM,AMDBAM,AUDBAM,EURBAM,AZNBAM,BHDBAM,BBDBAM,BYNBAM,EURBAM,BMDBAM,BOBBAM,1,BWPBAM,BRLBAM,BGNBAM,CVEBAM,KHRBAM,XAFBAM,CADBAM,KYDBAM,XAFBAM,CLPBAM,CNYBAM,COPBAM,CDFBAM,XAFBAM,CRCBAM,HRKBAM,EURBAM,CZKBAM,DKKBAM,DOPBAM,USDBAM,EGPBAM,USDBAM,XAFBAM,EURBAM,FJDBAM,EURBAM,EURBAM,XAFBAM,GELBAM,EURBAM,GHSBAM,GIPBAM,EURBAM,DKKBAM,GTQBAM,GBPBAM,GYDBAM,HNLBAM,HKDBAM,HUFBAM,ISKBAM,INRBAM,IDRBAM,IQDBAM,EURBAM,IMPBAM,ILSBAM,EURBAM,XOFBAM,JMDBAM,JPYBAM,GBPBAM,JODBAM,KZTBAM,KESBAM,KRWBAM,EURBAM,KWDBAM,KGSBAM,LAKBAM,EURBAM,LBPBAM,LYDBAM,CHFBAM,EURBAM,EURBAM,MOPBAM,MGABAM,MWKBAM,MYRBAM,MVRBAM,EURBAM,MRUBAM,MURBAM,MXNBAM,MDLBAM,MNTBAM,EURBAM,MADBAM,MZNBAM,MMKBAM,NADBAM,EURBAM,NZDBAM,NIOBAM,NGNBAM,MKDBAM,NOKBAM,OMRBAM,PKRBAM,"ILS, USD, and JODBAM",PAB  and USDBAM,PGKBAM,PYGBAM,PENBAM,PHPBAM,PLNBAM,EURBAM,USDBAM,QARBAM,RONBAM,RUBBAM,RWFBAM,XCDBAM,SARBAM,XOFBAM,RSDBAM,SGDBAM,EURBAM,EURBAM,ZARBAM,EURBAM,LKRBAM,SZLBAM,SEKBAM,CHFBAM,TWDBAM,TJSBAM,TZSBAM,THBBAM,USDBAM,TTDBAM,TNDBAM,TRYBAM,TMTBAM,UGXBAM,UAHBAM,AEDBAM,GBPBAM,USDBAM,UYUBAM,UZSBAM,VEFBAM,VNDBAM,ZMWBAM,ZWDBAM
BWP,DZDBWP,AOABWP,ARSBWP,AMDBWP,AUDBWP,EURBWP,AZNBWP,BHDBWP,BBDBWP,BYNBWP,EURBWP,BMDBWP,BOBBWP,BAMBWP,1,BRLBWP,BGNBWP,CVEBWP,KHRBWP,XAFBWP,CADBWP,KYDBWP,XAFBWP,CLPBWP,CNYBWP,COPBWP,CDFBWP,XAFBWP,CRCBWP,HRKBWP,EURBWP,CZKBWP,DKKBWP,DOPBWP,USDBWP,EGPBWP,USDBWP,XAFBWP,EURBWP,FJDBWP,EURBWP,EURBWP,XAFBWP,GELBWP,EURBWP,GHSBWP,GIPBWP,EURBWP,DKKBWP,GTQBWP,GBPBWP,GYDBWP,HNLBWP,HKDBWP,HUFBWP,ISKBWP,INRBWP,IDRBWP,IQDBWP,EURBWP,IMPBWP,ILSBWP,EURBWP,XOFBWP,JMDBWP,JPYBWP,GBPBWP,JODBWP,KZTBWP,KESBWP,KRWBWP,EURBWP,KWDBWP,KGSBWP,LAKBWP,EURBWP,LBPBWP,LYDBWP,CHFBWP,EURBWP,EURBWP,MOPBWP,MGABWP,MWKBWP,MYRBWP,MVRBWP,EURBWP,MRUBWP,MURBWP,MXNBWP,MDLBWP,MNTBWP,EURBWP,MADBWP,MZNBWP,MMKBWP,NADBWP,EURBWP,NZDBWP,NIOBWP,NGNBWP,MKDBWP,NOKBWP,OMRBWP,PKRBWP,"ILS, USD, and JODBWP",PAB  and USDBWP,PGKBWP,PYGBWP,PENBWP,PHPBWP,PLNBWP,EURBWP,USDBWP,QARBWP,RONBWP,RUBBWP,RWFBWP,XCDBWP,SARBWP,XOFBWP,RSDBWP,SGDBWP,EURBWP,EURBWP,ZARBWP,EURBWP,LKRBWP,SZLBWP,SEKBWP,CHFBWP,TWDBWP,TJSBWP,TZSBWP,THBBWP,USDBWP,TTDBWP,TNDBWP,TRYBWP,TMTBWP,UGXBWP,UAHBWP,AEDBWP,GBPBWP,USDBWP,UYUBWP,UZSBWP,VEFBWP,VNDBWP,ZMWBWP,ZWDBWP
BRL,DZDBRL,AOABRL,ARSBRL,AMDBRL,AUDBRL,EURBRL,AZNBRL,BHDBRL,BBDBRL,BYNBRL,EURBRL,BMDBRL,BOBBRL,BAMBRL,BWPBRL,1,BGNBRL,CVEBRL,KHRBRL,XAFBRL,CADBRL,KYDBRL,XAFBRL,CLPBRL,CNYBRL,COPBRL,CDFBRL,XAFBRL,CRCBRL,HRKBRL,EURBRL,CZKBRL,DKKBRL,DOPBRL,USDBRL,EGPBRL,USDBRL,XAFBRL,EURBRL,FJDBRL,EURBRL,EURBRL,XAFBRL,GELBRL,EURBRL,GHSBRL,GIPBRL,EURBRL,DKKBRL,GTQBRL,GBPBRL,GYDBRL,HNLBRL,HKDBRL,HUFBRL,ISKBRL,INRBRL,IDRBRL,IQDBRL,EURBRL,IMPBRL,ILSBRL,EURBRL,XOFBRL,JMDBRL,JPYBRL,GBPBRL,JODBRL,KZTBRL,KESBRL,KRWBRL,EURBRL,KWDBRL,KGSBRL,LAKBRL,EURBRL,LBPBRL,LYDBRL,CHFBRL,EURBRL,EURBRL,MOPBRL,MGABRL,MWKBRL,MYRBRL,MVRBRL,EURBRL,MRUBRL,MURBRL,MXNBRL,MDLBRL,MNTBRL,EURBRL,MADBRL,MZNBRL,MMKBRL,NADBRL,EURBRL,NZDBRL,NIOBRL,NGNBRL,MKDBRL,NOKBRL,OMRBRL,PKRBRL,"ILS, USD, and JODBRL",PAB  and USDBRL,PGKBRL,PYGBRL,PENBRL,PHPBRL,PLNBRL,EURBRL,USDBRL,QARBRL,RONBRL,RUBBRL,RWFBRL,XCDBRL,SARBRL,XOFBRL,RSDBRL,SGDBRL,EURBRL,EURBRL,ZARBRL,EURBRL,LKRBRL,SZLBRL,SEKBRL,CHFBRL,TWDBRL,TJSBRL,TZSBRL,THBBRL,USDBRL,TTDBRL,TNDBRL,TRYBRL,TMTBRL,UGXBRL,UAHBRL,AEDBRL,GBPBRL,USDBRL,UYUBRL,UZSBRL,VEFBRL,VNDBRL,ZMWBRL,ZWDBRL
BGN,DZDBGN,AOABGN,ARSBGN,AMDBGN,AUDBGN,EURBGN,AZNBGN,BHDBGN,BBDBGN,BYNBGN,EURBGN,BMDBGN,BOBBGN,BAMBGN,BWPBGN,BRLBGN,1,CVEBGN,KHRBGN,XAFBGN,CADBGN,KYDBGN,XAFBGN,CLPBGN,CNYBGN,COPBGN,CDFBGN,XAFBGN,CRCBGN,HRKBGN,EURBGN,CZKBGN,DKKBGN,DOPBGN,USDBGN,EGPBGN,USDBGN,XAFBGN,EURBGN,FJDBGN,EURBGN,EURBGN,XAFBGN,GELBGN,EURBGN,GHSBGN,GIPBGN,EURBGN,DKKBGN,GTQBGN,GBPBGN,GYDBGN,HNLBGN,HKDBGN,HUFBGN,ISKBGN,INRBGN,IDRBGN,IQDBGN,EURBGN,IMPBGN,ILSBGN,EURBGN,XOFBGN,JMDBGN,JPYBGN,GBPBGN,JODBGN,KZTBGN,KESBGN,KRWBGN,EURBGN,KWDBGN,KGSBGN,LAKBGN,EURBGN,LBPBGN,LYDBGN,CHFBGN,EURBGN,EURBGN,MOPBGN,MGABGN,MWKBGN,MYRBGN,MVRBGN,EURBGN,MRUBGN,MURBGN,MXNBGN,MDLBGN,MNTBGN,EURBGN,MADBGN,MZNBGN,MMKBGN,NADBGN,EURBGN,NZDBGN,NIOBGN,NGNBGN,MKDBGN,NOKBGN,OMRBGN,PKRBGN,"ILS, USD, and JODBGN",PAB  and USDBGN,PGKBGN,PYGBGN,PENBGN,PHPBGN,PLNBGN,EURBGN,USDBGN,QARBGN,RONBGN,RUBBGN,RWFBGN,XCDBGN,SARBGN,XOFBGN,RSDBGN,SGDBGN,EURBGN,EURBGN,ZARBGN,EURBGN,LKRBGN,SZLBGN,SEKBGN,CHFBGN,TWDBGN,TJSBGN,TZSBGN,THBBGN,USDBGN,TTDBGN,TNDBGN,TRYBGN,TMTBGN,UGXBGN,UAHBGN,AEDBGN,GBPBGN,USDBGN,UYUBGN,UZSBGN,VEFBGN,VNDBGN,ZMWBGN,ZWDBGN
CVE,DZDCVE,AOACVE,ARSCVE,AMDCVE,AUDCVE,EURCVE,AZNCVE,BHDCVE,BBDCVE,BYNCVE,EURCVE,BMDCVE,BOBCVE,BAMCVE,BWPCVE,BRLCVE,BGNCVE,1,KHRCVE,XAFCVE,CADCVE,KYDCVE,XAFCVE,CLPCVE,CNYCVE,COPCVE,CDFCVE,XAFCVE,CRCCVE,HRKCVE,EURCVE,CZKCVE,DKKCVE,DOPCVE,USDCVE,EGPCVE,USDCVE,XAFCVE,EURCVE,FJDCVE,EURCVE,EURCVE,XAFCVE,GELCVE,EURCVE,GHSCVE,GIPCVE,EURCVE,DKKCVE,GTQCVE,GBPCVE,GYDCVE,HNLCVE,HKDCVE,HUFCVE,ISKCVE,INRCVE,IDRCVE,IQDCVE,EURCVE,IMPCVE,ILSCVE,EURCVE,XOFCVE,JMDCVE,JPYCVE,GBPCVE,JODCVE,KZTCVE,KESCVE,KRWCVE,EURCVE,KWDCVE,KGSCVE,LAKCVE,EURCVE,LBPCVE,LYDCVE,CHFCVE,EURCVE,EURCVE,MOPCVE,MGACVE,MWKCVE,MYRCVE,MVRCVE,EURCVE,MRUCVE,MURCVE,MXNCVE,MDLCVE,MNTCVE,EURCVE,MADCVE,MZNCVE,MMKCVE,NADCVE,EURCVE,NZDCVE,NIOCVE,NGNCVE,MKDCVE,NOKCVE,OMRCVE,PKRCVE,"ILS, USD, and JODCVE",PAB  and USDCVE,PGKCVE,PYGCVE,PENCVE,PHPCVE,PLNCVE,EURCVE,USDCVE,QARCVE,RONCVE,RUBCVE,RWFCVE,XCDCVE,SARCVE,XOFCVE,RSDCVE,SGDCVE,EURCVE,EURCVE,ZARCVE,EURCVE,LKRCVE,SZLCVE,SEKCVE,CHFCVE,TWDCVE,TJSCVE,TZSCVE,THBCVE,USDCVE,TTDCVE,TNDCVE,TRYCVE,TMTCVE,UGXCVE,UAHCVE,AEDCVE,GBPCVE,USDCVE,UYUCVE,UZSCVE,VEFCVE,VNDCVE,ZMWCVE,ZWDCVE
KHR,DZDKHR,AOAKHR,ARSKHR,AMDKHR,AUDKHR,EURKHR,AZNKHR,BHDKHR,BBDKHR,BYNKHR,EURKHR,BMDKHR,BOBKHR,BAMKHR,BWPKHR,BRLKHR,BGNKHR,CVEKHR,1,XAFKHR,CADKHR,KYDKHR,XAFKHR,CLPKHR,CNYKHR,COPKHR,CDFKHR,XAFKHR,CRCKHR,HRKKHR,EURKHR,CZKKHR,DKKKHR,DOPKHR,USDKHR,EGPKHR,USDKHR,XAFKHR,EURKHR,FJDKHR,EURKHR,EURKHR,XAFKHR,GELKHR,EURKHR,GHSKHR,GIPKHR,EURKHR,DKKKHR,GTQKHR,GBPKHR,GYDKHR,HNLKHR,HKDKHR,HUFKHR,ISKKHR,INRKHR,IDRKHR,IQDKHR,EURKHR,IMPKHR,ILSKHR,EURKHR,XOFKHR,JMDKHR,JPYKHR,GBPKHR,JODKHR,KZTKHR,KESKHR,KRWKHR,EURKHR,KWDKHR,KGSKHR,LAKKHR,EURKHR,LBPKHR,LYDKHR,CHFKHR,EURKHR,EURKHR,MOPKHR,MGAKHR,MWKKHR,MYRKHR,MVRKHR,EURKHR,MRUKHR,MURKHR,MXNKHR,MDLKHR,MNTKHR,EURKHR,MADKHR,MZNKHR,MMKKHR,NADKHR,EURKHR,NZDKHR,NIOKHR,NGNKHR,MKDKHR,NOKKHR,OMRKHR,PKRKHR,"ILS, USD, and JODKHR",PAB  and USDKHR,PGKKHR,PYGKHR,PENKHR,PHPKHR,PLNKHR,EURKHR,USDKHR,QARKHR,RONKHR,RUBKHR,RWFKHR,XCDKHR,SARKHR,XOFKHR,RSDKHR,SGDKHR,EURKHR,EURKHR,ZARKHR,EURKHR,LKRKHR,SZLKHR,SEKKHR,CHFKHR,TWDKHR,TJSKHR,TZSKHR,THBKHR,USDKHR,TTDKHR,TNDKHR,TRYKHR,TMTKHR,UGXKHR,UAHKHR,AEDKHR,GBPKHR,USDKHR,UYUKHR,UZSKHR,VEFKHR,VNDKHR,ZMWKHR,ZWDKHR
XAF,DZDXAF,AOAXAF,ARSXAF,AMDXAF,AUDXAF,EURXAF,AZNXAF,BHDXAF,BBDXAF,BYNXAF,EURXAF,BMDXAF,BOBXAF,BAMXAF,BWPXAF,BRLXAF,BGNXAF,CVEXAF,KHRXAF,1,CADXAF,KYDXAF,1,CLPXAF,CNYXAF,COPXAF,CDFXAF,1,CRCXAF,HRKXAF,EURXAF,CZKXAF,DKKXAF,DOPXAF,USDXAF,EGPXAF,USDXAF,1,EURXAF,FJDXAF,EURXAF,EURXAF,1,GELXAF,EURXAF,GHSXAF,GIPXAF,EURXAF,DKKXAF,GTQXAF,GBPXAF,GYDXAF,HNLXAF,HKDXAF,HUFXAF,ISKXAF,INRXAF,IDRXAF,IQDXAF,EURXAF,IMPXAF,ILSXAF,EURXAF,XOFXAF,JMDXAF,JPYXAF,GBPXAF,JODXAF,KZTXAF,KESXAF,KRWXAF,EURXAF,KWDXAF,KGSXAF,LAKXAF,EURXAF,LBPXAF,LYDXAF,CHFXAF,EURXAF,EURXAF,MOPXAF,MGAXAF,MWKXAF,MYRXAF,MVRXAF,EURXAF,MRUXAF,MURXAF,MXNXAF,MDLXAF,MNTXAF,EURXAF,MADXAF,MZNXAF,MMKXAF,NADXAF,EURXAF,NZDXAF,NIOXAF,NGNXAF,MKDXAF,NOKXAF,OMRXAF,PKRXAF,"ILS, USD, and JODXAF",PAB  and USDXAF,PGKXAF,PYGXAF,PENXAF,PHPXAF,PLNXAF,EURXAF,USDXAF,QARXAF,RONXAF,RUBXAF,RWFXAF,XCDXAF,SARXAF,XOFXAF,RSDXAF,SGDXAF,EURXAF,EURXAF,ZARXAF,EURXAF,LKRXAF,SZLXAF,SEKXAF,CHFXAF,TWDXAF,TJSXAF,TZSXAF,THBXAF,USDXAF,TTDXAF,TNDXAF,TRYXAF,TMTXAF,UGXXAF,UAHXAF,AEDXAF,GBPXAF,USDXAF,UYUXAF,UZSXAF,VEFXAF,VNDXAF,ZMWXAF,ZWDXAF
CAD,DZDCAD,AOACAD,ARSCAD,AMDCAD,AUDCAD,EURCAD,AZNCAD,BHDCAD,BBDCAD,BYNCAD,EURCAD,BMDCAD,BOBCAD,BAMCAD,BWPCAD,BRLCAD,BGNCAD,CVECAD,KHRCAD,XAFCAD,1,KYDCAD,XAFCAD,CLPCAD,CNYCAD,COPCAD,CDFCAD,XAFCAD,CRCCAD,HRKCAD,EURCAD,CZKCAD,DKKCAD,DOPCAD,USDCAD,EGPCAD,USDCAD,XAFCAD,EURCAD,FJDCAD,EURCAD,EURCAD,XAFCAD,GELCAD,EURCAD,GHSCAD,GIPCAD,EURCAD,DKKCAD,GTQCAD,GBPCAD,GYDCAD,HNLCAD,HKDCAD,HUFCAD,ISKCAD,INRCAD,IDRCAD,IQDCAD,EURCAD,IMPCAD,ILSCAD,EURCAD,XOFCAD,JMDCAD,JPYCAD,GBPCAD,JODCAD,KZTCAD,KESCAD,KRWCAD,EURCAD,KWDCAD,KGSCAD,LAKCAD,EURCAD,LBPCAD,LYDCAD,CHFCAD,EURCAD,EURCAD,MOPCAD,MGACAD,MWKCAD,MYRCAD,MVRCAD,EURCAD,MRUCAD,MURCAD,MXNCAD,MDLCAD,MNTCAD,EURCAD,MADCAD,MZNCAD,MMKCAD,NADCAD,EURCAD,NZDCAD,NIOCAD,NGNCAD,MKDCAD,NOKCAD,OMRCAD,PKRCAD,"ILS, USD, and JODCAD",PAB  and USDCAD,PGKCAD,PYGCAD,PENCAD,PHPCAD,PLNCAD,EURCAD,USDCAD,QARCAD,RONCAD,RUBCAD,RWFCAD,XCDCAD,SARCAD,XOFCAD,RSDCAD,SGDCAD,EURCAD,EURCAD,ZARCAD,EURCAD,LKRCAD,SZLCAD,SEKCAD,CHFCAD,TWDCAD,TJSCAD,TZSCAD,THBCAD,USDCAD,TTDCAD,TNDCAD,TRYCAD,TMTCAD,UGXCAD,UAHCAD,AEDCAD,GBPCAD,USDCAD,UYUCAD,UZSCAD,VEFCAD,VNDCAD,ZMWCAD,ZWDCAD
KYD,DZDKYD,AOAKYD,ARSKYD,AMDKYD,AUDKYD,EURKYD,AZNKYD,BHDKYD,BBDKYD,BYNKYD,EURKYD,BMDKYD,BOBKYD,BAMKYD,BWPKYD,BRLKYD,BGNKYD,CVEKYD,KHRKYD,XAFKYD,CADKYD,1,XAFKYD,CLPKYD,CNYKYD,COPKYD,CDFKYD,XAFKYD,CRCKYD,HRKKYD,EURKYD,CZKKYD,DKKKYD,DOPKYD,USDKYD,EGPKYD,USDKYD,XAFKYD,EURKYD,FJDKYD,EURKYD,EURKYD,XAFKYD,GELKYD,EURKYD,GHSKYD,GIPKYD,EURKYD,DKKKYD,GTQKYD,GBPKYD,GYDKYD,HNLKYD,HKDKYD,HUFKYD,ISKKYD,INRKYD,IDRKYD,IQDKYD,EURKYD,IMPKYD,ILSKYD,EURKYD,XOFKYD,JMDKYD,JPYKYD,GBPKYD,JODKYD,KZTKYD,KESKYD,KRWKYD,EURKYD,KWDKYD,KGSKYD,LAKKYD,EURKYD,LBPKYD,LYDKYD,CHFKYD,EURKYD,EURKYD,MOPKYD,MGAKYD,MWKKYD,MYRKYD,MVRKYD,EURKYD,MRUKYD,MURKYD,MXNKYD,MDLKYD,MNTKYD,EURKYD,MADKYD,MZNKYD,MMKKYD,NADKYD,EURKYD,NZDKYD,NIOKYD,NGNKYD,MKDKYD,NOKKYD,OMRKYD,PKRKYD,"ILS, USD, and JODKYD",PAB  and USDKYD,PGKKYD,PYGKYD,PENKYD,PHPKYD,PLNKYD,EURKYD,USDKYD,QARKYD,RONKYD,RUBKYD,RWFKYD,XCDKYD,SARKYD,XOFKYD,RSDKYD,SGDKYD,EURKYD,EURKYD,ZARKYD,EURKYD,LKRKYD,SZLKYD,SEKKYD,CHFKYD,TWDKYD,TJSKYD,TZSKYD,THBKYD,USDKYD,TTDKYD,TNDKYD,TRYKYD,TMTKYD,UGXKYD,UAHKYD,AEDKYD,GBPKYD,USDKYD,UYUKYD,UZSKYD,VEFKYD,VNDKYD,ZMWKYD,ZWDKYD
XAF,DZDXAF,AOAXAF,ARSXAF,AMDXAF,AUDXAF,EURXAF,AZNXAF,BHDXAF,BBDXAF,BYNXAF,EURXAF,BMDXAF,BOBXAF,BAMXAF,BWPXAF,BRLXAF,BGNXAF,CVEXAF,KHRXAF,1,CADXAF,KYDXAF,1,CLPXAF,CNYXAF,COPXAF,CDFXAF,1,CRCXAF,HRKXAF,EURXAF,CZKXAF,DKKXAF,DOPXAF,USDXAF,EGPXAF,USDXAF,1,EURXAF,FJDXAF,EURXAF,EURXAF,1,GELXAF,EURXAF,GHSXAF,GIPXAF,EURXAF,DKKXAF,GTQXAF,GBPXAF,GYDXAF,HNLXAF,HKDXAF,HUFXAF,ISKXAF,INRXAF,IDRXAF,IQDXAF,EURXAF,IMPXAF,ILSXAF,EURXAF,XOFXAF,JMDXAF,JPYXAF,GBPXAF,JODXAF,KZTXAF,KESXAF,KRWXAF,EURXAF,KWDXAF,KGSXAF,LAKXAF,EURXAF,LBPXAF,LYDXAF,CHFXAF,EURXAF,EURXAF,MOPXAF,MGAXAF,MWKXAF,MYRXAF,MVRXAF,EURXAF,MRUXAF,MURXAF,MXNXAF,MDLXAF,MNTXAF,EURXAF,MADXAF,MZNXAF,MMKXAF,NADXAF,EURXAF,NZDXAF,NIOXAF,NGNXAF,MKDXAF,NOKXAF,OMRXAF,PKRXAF,"ILS, USD, and JODXAF",PAB  and USDXAF,PGKXAF,PYGXAF,PENXAF,PHPXAF,PLNXAF,EURXAF,USDXAF,QARXAF,RONXAF,RUBXAF,RWFXAF,XCDXAF,SARXAF,XOFXAF,RSDXAF,SGDXAF,EURXAF,EURXAF,ZARXAF,EURXAF,LKRXAF,SZLXAF,SEKXAF,CHFXAF,TWDXAF,TJSXAF,TZSXAF,THBXAF,USDXAF,TTDXAF,TNDXAF,TRYXAF,TMTXAF,UGXXAF,UAHXAF,AEDXAF,GBPXAF,USDXAF,UYUXAF,UZSXAF,VEFXAF,VNDXAF,ZMWXAF,ZWDXAF
